                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.6623,                 3.8119,                 0.4872,                 5.8212,                 3.7883,                0.00065,                0.11765,                0.00051,                0.00024,                0.00212,                0.29412,                0.00136,                0.00033,                 4.0024,                  7.231,                0.04374,                    inf,                 6.4886,             0.00066312,             0.00066312,             0.00066312
                      2,                 3.3972,                 3.3885,                0.34779,                 3.4803,                 2.9565,                0.12279,                0.11765,                0.06838,                0.01411,                0.19899,                0.29412,                0.11638,                0.02469,                 3.3979,                 5.5911,                0.06704,                  4.357,                 3.6026,              0.0013166,              0.0013166,              0.0013166
                      3,                 2.9747,                 3.3487,                0.32184,                 3.0831,                 2.7194,                 0.0943,                0.42273,                0.14885,                0.05904,                0.08463,                0.47059,                0.10015,                0.01679,                 2.7616,                  3.991,                0.05951,                 3.8547,                 2.6615,              0.0019569,              0.0019569,              0.0019569
                      4,                 2.8026,                 3.1433,                0.30324,                 2.9164,                 2.5439,                0.02285,                0.47059,                0.09056,                0.02708,                0.03999,                0.82353,                0.12001,                0.04828,                 2.9469,                 3.5074,                0.07554,                  2.734,                 2.6426,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.6626,                 2.9622,                0.31604,                 2.5256,                 2.3935,                0.10229,                0.23529,                0.10545,                0.04008,                0.12786,                0.29412,                0.17982,                0.08466,                 2.6823,                  3.536,                0.13535,                 2.8746,                 2.4765,              0.0019406,              0.0019406,              0.0019406
                      6,                  2.587,                   2.59,                0.31814,                  2.392,                 2.3568,                0.19733,                0.47059,                0.21842,                0.06929,                0.22437,                0.52941,                0.27836,                0.18885,                 2.5174,                 2.4109,                0.04129,                 2.2966,                 2.4487,              0.0019208,              0.0019208,              0.0019208
                      7,                 2.5599,                 2.2132,                 0.3351,                  2.256,                 2.3138,                0.13273,                0.23529,                0.12544,                0.04768,                0.13213,                0.17647,                0.16789,                0.08983,                 2.2418,                 2.6299,                0.08187,                 2.8976,                 2.3161,               0.001901,               0.001901,               0.001901
                      8,                 2.4335,                 2.0829,                0.29815,                 2.3499,                  2.234,                0.06669,                0.11765,                  0.094,                0.01794,                0.10003,                0.17647,                0.10664,                0.07649,                 2.9296,                 2.7933,                0.12709,                 3.1516,                 2.8525,              0.0018812,              0.0018812,              0.0018812
                      9,                  2.366,                  1.804,                 0.3376,                  2.159,                 2.2076,                0.24513,                0.64706,                0.35592,                0.08811,                0.29154,                0.64706,                0.39425,                0.28771,                 2.2819,                  1.918,                0.08281,                 2.1078,                 2.1935,              0.0018614,              0.0018614,              0.0018614
                     10,                 2.3084,                 1.5659,                0.31104,                 2.0432,                 2.1455,                0.32268,                0.41176,                0.38416,                  0.157,                0.36815,                0.35294,                 0.3682,                 0.2663,                 2.2319,                 2.0772,                0.11079,                  2.055,                 2.1935,              0.0018416,              0.0018416,              0.0018416
                     11,                 2.2938,                 1.3346,                0.31072,                 1.9693,                 2.1007,                0.40112,                0.47059,                0.45335,                0.18569,                0.42812,                0.41176,                0.42387,                 0.3669,                  2.198,                 1.8588,                0.12407,                 1.8589,                  2.209,              0.0018218,              0.0018218,              0.0018218
                     12,                 2.2051,                 1.0967,                0.30376,                  1.834,                 2.0707,                0.35643,                0.52941,                0.40872,                0.17184,                0.35222,                0.52941,                0.44497,                0.38278,                 2.1902,                 1.2228,                 0.0894,                 1.7344,                 2.0454,               0.001802,               0.001802,               0.001802
